recommendation1,recommendation2,recommendation3
220,940,1532
1960,1492,943
1590,917,145
925,926,951
888,1087,691
1045,1595,763
138,1503,1110
1009,513,509
1028,763,289
995,1610,1531
1069,99,876
1718,821,197
1006,1200,561
1706,965,520
734,524,1654
1644,650,655
531,874,1167
318,1067,476
296,964,628
1614,508,1300
1608,1351,1186
1607,1590,926
1917,1701,1706
1284,992,348
352,1774,653
1606,1824,713
1980,2003,1361
1606,1072,1670
888,964,841
875,1541,735
1624,1826,115
291,34,1786
94,1058,1796
1493,1574,466
1086,875,1809
1494,1157,1375
501,1052,353
1068,1059,1913
1058,1009,1626
513,488,1052
1671,1913,825
875,1913,94
715,907,531
867,1058,1718
1035,1538,1699
1132,107,558
866,1382,1228
78,866,1590
866,951,78
951,866,1634
985,1083,1803
708,663,1539
348,983,930
580,301,1149
907,493,527
874,1538,310
1112,179,480
650,655,1661
790,525,1730
1701,1726,1727
119,1848,1556
923,924,1254
686,508,1486
594,825,893
1712,1652,1595
687,524,200
1704,1683,1686
734,200,1914
388,870,179
220,1532,1375
442,1135,576
1700,1652,504
609,1384,1405
1790,2018,1932
1495,670,1644
1125,965,132
1663,2003,940
1663,2003,940
1665,1456,1700
1665,1456,1700
1667,1595,1359
1667,1595,1359
262,1480,1905
1614,1072,2003
1520,1889,1627
524,840,1652
380,1531,700
1913,875,1035
780,1539,1632
843,1995,1893
1690,641,685
1708,1681,1680
1709,1680,1651
1699,1679,825
1705,1678,1652
1710,1680,1683
1702,1653,1682
948,1893,951
971,1535,649
1706,762,1652
1707,1678,1680
1711,1680,1681
1703,247,1950
310,1556,1133
1441,1646,1877
501,2010,902
841,1848,1752
249,1652,1385
1595,763,1045
1696,701,789
937,288,1652
974,1994,1355
1709,1680,1710
200,1658,1652
1555,1710,1708
1683,1704,1710
1689,247,1705
1653,1702,1710
1681,1708,1707
1686,1708,1704
1687,1708,1705
1705,1678,1707
1679,1699,1702
1682,1702,1704
1688,1705,1503
1651,1028,1595
442,1157,2018
2054,217,266
1556,1285,291
243,1893,365
119,935,1789
1054,973,1330
1720,243,964
1719,442,1986
344,898,92
1366,984,1009
924,923,1652
1821,274,1748
1480,442,271
1727,1796,1905
1726,1796,262
1913,841,923
1982,1556,1867
54,1061,1079
1859,1133,2075
789,28,1702
1016,974,1484
817,946,33
890,717,1532
1912,1385,589
944,866,1590
923,924,1960
1961,2108,430
872,150,1133
535,1006,34
742,1912,1385
1052,300,1913
1829,501,1052
1228,1893,1466
1751,333,802
501,546,973
1254,923,924
1748,1752,873
1137,1742,622
1752,1519,1704
893,1778,1751
1825,739,469
1580,1515,1656
2010,1716,1515
357,1191,1455
1756,1504,1806
1806,1649,216
1113,397,1564
1412,1607,866
319,1595,943
1160,57,546
789,99,1843
288,2013,1376
1766,1767,866
1765,1774,1768
1768,866,1765
1767,1766,1774
170,1771,1648
1829,1450,501
1491,242,1643
89,670,1087
94,212,1652
443,1228,1893
116,974,741
952,348,1948
1706,1686,1652
1752,250,1727
687,1796,572
1994,622,974
228,336,930
249,700,1109
875,291,34
1825,1725,666
1727,1641,665
525,1789,935
1363,893,309
482,1051,1532
119,291,34
1485,1692,1893
1504,897,1444
1107,653,1890
1945,1515,244
1752,182,517
1009,1803,469
469,1727,262
228,633,128
914,791,318
1007,361,314
1801,480,1658
1800,1028,923
965,804,421
985,875,1913
1879,1264,594
1849,1649,872
1485,454,1254
1385,739,1051
493,1830,875
864,469,875
925,926,628
275,1790,1244
459,1317,822
261,1943,496
493,1054,907
581,1641,2025
1134,659,546
493,94,1654
1519,742,968
672,566,761
98,219,538
1879,1450,1654
999,1021,663
288,249,1963
1583,1579,1456
488,501,1370
1912,115,1852
1445,381,734
120,200,262
501,276,398
914,493,1918
102,1264,394
1059,239,635
1297,1485,478
1748,1914,822
1835,902,115
